time,CapDev_time,DA_time,DK1 2025 (2014 WY),DK1 2035 (2014 WY),DK1 2045 (2014 WY),DK1 2025 (2012 WY),DK1 2035 (2012 WY),DK1 2045 (2012 WY),DK1 2025 (1985 WY),DK1 2045 (1985 WY),DK1 2045 (1985 WY)
08/01/2014 03.00,S01.T052,S003.T04,23.909,18.461,16.43,18.268,17.014,3.923,46.973,116.475,76.095
08/01/2014 04.00,S01.T053,S003.T05,23.909,18.461,16.43,18.256,17.014,3.923,46.973,116.475,76.095
08/01/2014 05.00,S01.T054,S003.T06,25.46,18.461,16.43,18.132,17.203,3.923,46.973,116.475,76.095
08/01/2014 06.00,S01.T055,S003.T07,26.471,18.229,15.859,22.543,17.01,3.696,46.286,65.121,63.448
08/01/2014 07.00,S01.T056,S003.T08,31.122,17.569,15.412,27.193,17.139,3.793,47.273,62.583,62.441
08/01/2014 08.00,S01.T057,S003.T09,32.558,16.838,15.409,29.065,16.176,3.793,46.916,63.208,62.638
08/01/2014 09.00,S01.T058,S003.T10,28.243,12.549,14.733,19.949,8,3.67,44.391,59.741,60.159
08/01/2014 10.00,S01.T059,S003.T11,28.182,12.477,12.671,17.733,7.09,3.304,42.702,58.999,58.788
08/01/2014 11.00,S01.T060,S003.T12,24.161,12.477,12.623,13.238,5.749,3.304,42.702,59.753,58.788
08/01/2014 12.00,S01.T061,S003.T13,24.161,12.477,12.623,13.238,5.749,3.304,43.659,59.827,61.254
08/01/2014 13.00,S01.T062,S003.T14,24.326,12.935,14.435,13.238,5.749,3.327,46.124,60.604,61.912
08/01/2014 14.00,S01.T063,S003.T15,24.945,13.602,15.246,17.994,5.763,3.583,46.973,62.29,62.244
08/01/2014 15.00,S01.T064,S003.T16,30.502,18.73,16.43,21.962,15.244,3.923,59.563,105.967,75.154
08/01/2014 16.00,S01.T065,S003.T17,25.941,19.806,16.43,24.341,17.014,3.923,66.998,117.555,76.095
08/01/2014 17.00,S01.T066,S003.T18,25.941,19.907,16.43,24.341,17.014,3.923,66.998,117.986,76.095
08/01/2014 18.00,S01.T067,S003.T19,25.787,19.918,16.43,24.028,17.014,3.923,66.699,130.1,76.095
08/01/2014 19.00,S01.T068,S003.T20,25.506,18.878,16.43,23.604,17.014,3.923,66.699,117.641,76.095
08/01/2014 20.00,S01.T069,S003.T21,25.396,19.025,16.43,23.101,17.014,3.923,66.699,117.641,76.095
08/01/2014 21.00,S01.T070,S003.T22,24.941,18.892,16.43,18.974,17.014,3.923,63.854,117.641,76.095
08/01/2014 22.00,S01.T071,S003.T23,24.871,18.73,16.43,18.726,17.014,3.923,59.173,117.992,76.095
08/01/2014 23.00,S01.T072,S003.T24,24.822,18.73,16.43,18.256,17.014,3.923,56.458,117.992,76.095
09/01/2014 00.00,S01.T073,S004.T01,25.518,22.891,13.724,23.556,17.292,16.133,98.532,165.02,182.606
09/01/2014 01.00,S01.T074,S004.T02,25.997,22.891,13.724,23.556,17.292,16.133,98.532,165.02,182.606
09/01/2014 02.00,S01.T075,S004.T03,26.409,22.891,13.724,23.556,17.292,16.133,98.532,165.02,182.606
09/01/2014 03.00,S01.T076,S004.T04,28.036,22.891,13.724,23.751,17.292,16.133,98.532,165.02,182.606
09/01/2014 04.00,S01.T077,S004.T05,29.773,23.255,13.724,24.126,17.292,16.133,98.532,165.02,182.606
09/01/2014 05.00,S01.T078,S004.T06,32.354,23.62,13.724,24.756,17.292,16.133,98.532,165.02,182.606
09/01/2014 06.00,S01.T079,S004.T07,33.02,23.549,13.786,26.267,19.541,15.351,102.334,153.043,76.808
09/01/2014 07.00,S01.T080,S004.T08,36.082,24.074,13.774,32.691,24.653,15.509,108.364,120.868,76.808
09/01/2014 08.00,S01.T081,S004.T09,36.781,23.384,13.867,34.213,24.653,15.509,102.334,69.52,76.651
09/01/2014 09.00,S01.T082,S004.T10,33.474,19.047,13.495,28.73,19.873,14.894,80.165,64.908,75.581
09/01/2014 10.00,S01.T083,S004.T11,33.661,18.378,11.143,27.241,19.541,14.564,61.891,58.065,74.212
09/01/2014 11.00,S01.T084,S004.T12,32.361,18.378,11.07,26.626,16.658,14.564,58.231,58.983,73.973
09/01/2014 12.00,S01.T085,S004.T13,32.31,18.887,11.07,25.497,16.658,14.914,58.231,61.909,74.077
09/01/2014 13.00,S01.T086,S004.T14,32.31,19.051,11.786,24.878,16.658,14.98,62.025,62.588,75.296
09/01/2014 14.00,S01.T087,S004.T15,31.887,20.011,13.383,24.388,16.739,15.202,80.681,64.559,76.461
