time,CapDev_time,DA_time,DK1 2025 (2014 WY),DK1 2035 (2014 WY),DK1 2045 (2014 WY),DK1 2025 (2012 WY),DK1 2035 (2012 WY),DK1 2045 (2012 WY),DK1 2025 (1985 WY),DK1 2045 (1985 WY),DK1 2045 (1985 WY)
20/04/2014 18.00,S15.T163,S105.T19,30.145,20.587,17.59,25.717,16.973,14.9,34.385,49.607,45.106
20/04/2014 19.00,S15.T164,S105.T20,28.106,20.587,17.59,25.717,16.973,14.9,34.14,49.607,45.106
20/04/2014 20.00,S15.T165,S105.T21,29.906,20.587,17.59,25.717,16.973,14.9,34.14,49.607,45.106
20/04/2014 21.00,S15.T166,S105.T22,29.906,20.587,17.59,25.717,16.973,14.9,34.14,49.607,45.106
20/04/2014 22.00,S15.T167,S105.T23,27.371,20.587,17.59,25.717,16.973,14.9,34.14,49.607,45.106
20/04/2014 23.00,S15.T168,S105.T24,35.869,20.587,17.59,35.554,16.973,14.9,34.14,49.607,45.106
21/04/2014 00.00,S16.T001,S106.T01,32.564,44.031,13.589,29.848,48.57,18.597,33.619,46.189,47.614
21/04/2014 01.00,S16.T002,S106.T02,32.739,44.031,13.589,29.848,48.961,18.597,33.619,46.189,47.614
21/04/2014 02.00,S16.T003,S106.T03,32.739,44.031,13.589,29.848,48.961,18.597,33.619,46.189,47.614
21/04/2014 03.00,S16.T004,S106.T04,32.739,44.031,13.589,29.848,48.961,18.597,33.619,46.189,47.614
21/04/2014 04.00,S16.T005,S106.T05,32.739,44.031,13.589,29.848,49.002,18.597,33.882,46.278,47.614
21/04/2014 05.00,S16.T006,S106.T06,32.773,44.049,13.589,33.637,49.126,18.597,36.177,46.816,47.614
21/04/2014 06.00,S16.T007,S106.T07,32.928,43.483,12.776,35.193,48.282,17.939,42.395,45.008,46.637
21/04/2014 07.00,S16.T008,S106.T08,38.477,40.011,12.168,43.989,47,17.489,37.35,42.892,45.43
21/04/2014 08.00,S16.T009,S106.T09,32.74,40.196,11.83,32.668,45.355,17.394,33.478,41.921,45.342
21/04/2014 09.00,S16.T010,S106.T10,32.635,39.066,11.678,30.854,43.071,17.007,32.409,39.992,44.947
21/04/2014 10.00,S16.T011,S106.T11,31.932,37.983,11.11,31.802,44.795,17.063,30.245,35.254,41.072
21/04/2014 11.00,S16.T012,S106.T12,30.942,33.582,9.005,26.627,39.833,15.207,25.197,30.111,41.007
21/04/2014 12.00,S16.T013,S106.T13,30.745,33.582,9.005,26.521,37.502,15.108,25.038,29.388,41.007
21/04/2014 13.00,S16.T014,S106.T14,30.942,34.223,11.334,26.521,37.502,15.108,26.65,29.388,42.876
21/04/2014 14.00,S16.T015,S106.T15,31.66,39.547,12.33,28.193,37.502,15.125,31.01,29.876,43.974
21/04/2014 15.00,S16.T016,S106.T16,33.001,43.195,12.954,29.159,45.466,17.415,31.931,40.661,45.04
21/04/2014 16.00,S16.T017,S106.T17,33.864,44.043,13.589,29.848,48.214,18.065,33.305,45.28,47.496
21/04/2014 17.00,S16.T018,S106.T18,34.69,44.268,13.589,32.756,48.544,18.597,36.514,45.612,47.614
21/04/2014 18.00,S16.T019,S106.T19,32.831,44.031,13.589,34.595,48.544,18.597,38.227,45.612,47.614
21/04/2014 19.00,S16.T020,S106.T20,31.578,44.031,13.589,34.595,48.544,18.597,34.238,45.612,47.614
21/04/2014 20.00,S16.T021,S106.T21,31.489,44.031,13.589,32.418,48.544,18.597,33.412,45.612,47.614
21/04/2014 21.00,S16.T022,S106.T22,31.489,44.031,13.589,30.288,48.544,18.597,33.425,45.612,47.614
21/04/2014 22.00,S16.T023,S106.T23,31.489,44.031,13.589,29.848,48.544,18.597,33.425,45.612,47.614
21/04/2014 23.00,S16.T024,S106.T24,31.489,44.031,13.589,31.873,48.544,18.597,33.425,45.612,47.614
22/04/2014 00.00,S16.T025,S107.T01,31.587,44.903,44.336,32.711,44.097,16.811,30.884,44.237,44.719
22/04/2014 01.00,S16.T026,S107.T02,31.587,44.903,44.336,32.711,44.097,16.811,30.884,44.237,44.719
22/04/2014 02.00,S16.T027,S107.T03,31.587,44.903,44.336,32.711,44.097,16.811,30.884,44.237,44.719
22/04/2014 03.00,S16.T028,S107.T04,31.587,44.903,44.336,32.711,44.097,16.811,30.884,44.237,44.719
22/04/2014 04.00,S16.T029,S107.T05,31.587,44.903,44.336,33.508,44.097,16.811,30.884,44.237,44.719
22/04/2014 05.00,S16.T030,S107.T06,31.587,44.903,44.336,45.057,44.246,16.811,30.517,44.237,44.719
22/04/2014 06.00,S16.T031,S107.T07,29.738,43.56,42.878,33.882,43.314,15.859,30.725,38.369,43.149
22/04/2014 07.00,S16.T032,S107.T08,31.722,44.332,41.341,33.842,38.276,13.383,28.866,35.503,41.881
22/04/2014 08.00,S16.T033,S107.T09,34.036,43.733,40.478,32.526,37.765,12.081,22.978,33.578,39.953
22/04/2014 09.00,S16.T034,S107.T10,32.51,41.602,39.723,26.167,37.125,11.964,21.801,28.976,38.685
22/04/2014 10.00,S16.T035,S107.T11,32.448,41.667,39.723,26.959,38.039,12.448,20,25.769,38.685
22/04/2014 11.00,S16.T036,S107.T12,31.573,40.427,39.723,26.09,38.879,12.557,21.64,25.769,38.685
22/04/2014 12.00,S16.T037,S107.T13,31.573,40.427,39.982,26.167,39.655,13.383,23.039,32.994,39.227
22/04/2014 13.00,S16.T038,S107.T14,31.587,40.427,41.579,29.423,41.006,14.842,25.494,33.25,39.872
22/04/2014 14.00,S16.T039,S107.T15,31.674,43.476,41.713,31.722,41.737,15.318,28.155,33.25,39.979
22/04/2014 15.00,S16.T040,S107.T16,32.787,45.261,43.722,32.905,43.151,15.899,29.291,39.999,42.344
22/04/2014 16.00,S16.T041,S107.T17,33.992,45.301,44.336,34.141,44.097,16.811,31.523,44.11,44.257
22/04/2014 17.00,S16.T042,S107.T18,35.9,45.61,44.336,37.514,44.536,16.811,33.785,45.267,44.719
22/04/2014 18.00,S16.T043,S107.T19,36.016,45.124,44.336,39.163,44.9,16.811,34.093,45.757,44.719
22/04/2014 19.00,S16.T044,S107.T20,43.38,44.903,44.336,34.278,44.411,16.811,34.476,45.757,44.719
22/04/2014 20.00,S16.T045,S107.T21,42.988,44.903,44.336,34.141,44.097,16.811,34.476,45.757,44.86
22/04/2014 21.00,S16.T046,S107.T22,36.016,44.903,44.336,32.711,44.097,16.811,34.476,45.757,44.719
22/04/2014 22.00,S16.T047,S107.T23,33.2,44.903,44.336,32.711,44.097,16.811,34.476,45.757,44.719
22/04/2014 23.00,S16.T048,S107.T24,33.694,44.903,44.336,32.711,44.097,16.811,33.824,45.757,44.719
23/04/2014 00.00,S16.T049,S108.T01,33.173,44.62,33.018,30.922,18.192,18.312,26.612,26.861,15.284
23/04/2014 01.00,S16.T050,S108.T02,33.173,44.62,33.018,30.922,18.399,18.312,24.889,26.441,15.284
23/04/2014 02.00,S16.T051,S108.T03,33.173,44.62,33.018,31.212,18.427,18.312,24.475,26.249,15.284
23/04/2014 03.00,S16.T052,S108.T04,33.173,44.62,33.018,28.797,18.525,18.312,24.482,26.362,15.284
23/04/2014 04.00,S16.T053,S108.T05,33.648,44.62,33.018,31.66,18.649,18.312,32.138,26.441,15.284
23/04/2014 05.00,S16.T054,S108.T06,51.15,44.62,33.018,31.959,18.792,18.312,39.176,27.279,15.284
23/04/2014 06.00,S16.T055,S108.T07,41,44.68,32.627,33.817,18.138,17.799,35.443,24.226,14.862
23/04/2014 07.00,S16.T056,S108.T08,35.409,41.474,31.761,38.242,17.948,17.242,32.724,22.778,14.461
23/04/2014 08.00,S16.T057,S108.T09,33.538,37.763,29.777,35.59,17.991,16.89,25.922,17.814,13.731
23/04/2014 09.00,S16.T058,S108.T10,32.422,33.738,29.285,32.575,17.488,15.181,23.574,13.672,12.593
23/04/2014 10.00,S16.T059,S108.T11,31.833,38.347,29.285,33.334,17.482,16.321,22.435,12.216,11.011
23/04/2014 11.00,S16.T060,S108.T12,31.66,38.347,29.285,28.958,16.945,16.814,20.918,11.958,9.342
23/04/2014 12.00,S16.T061,S108.T13,31.66,38.347,29.285,28.958,16.945,16.817,20.918,11.958,9.342
23/04/2014 13.00,S16.T062,S108.T14,31.989,40.179,30.374,28.958,16.945,17.387,21.202,11.958,9.342
23/04/2014 14.00,S16.T063,S108.T15,32.567,41.151,31.024,31.541,16.945,17.626,22.467,12.049,9.518
23/04/2014 15.00,S16.T064,S108.T16,33.564,43.903,32.585,31.893,18.029,17.869,23.793,14.903,12.543
23/04/2014 16.00,S16.T065,S108.T17,35.138,45.778,33.018,34.421,18.566,18.312,24.507,26.111,15.284
23/04/2014 17.00,S16.T066,S108.T18,35.726,46.76,33.178,35.448,18.654,18.312,32.398,26.249,15.284
23/04/2014 18.00,S16.T067,S108.T19,35.726,46.8,33.018,34.84,18.315,18.312,26.97,26.249,15.284
23/04/2014 19.00,S16.T068,S108.T20,35.145,44.979,33.018,32.45,18.029,18.312,25.072,26.249,15.284
23/04/2014 20.00,S16.T069,S108.T21,35.145,46.676,33.018,29.468,18.029,18.312,24.697,26.249,15.284
23/04/2014 21.00,S16.T070,S108.T22,28.74,44.62,33.018,25.295,18.029,18.312,24.54,26.249,15.284
23/04/2014 22.00,S16.T071,S108.T23,28.74,44.62,33.018,25.295,18.029,18.312,24.167,26.249,15.284
23/04/2014 23.00,S16.T072,S108.T24,28.74,44.62,33.018,25.295,18.029,18.312,24.167,26.249,15.284
24/04/2014 00.00,S16.T073,S109.T01,29.999,44.954,46.161,23.663,47.078,43.835,25.47,32.881,20.143
24/04/2014 01.00,S16.T074,S109.T02,29.999,44.954,46.161,23.852,47.138,43.835,25.47,32.881,20.143
24/04/2014 02.00,S16.T075,S109.T03,29.999,44.954,46.161,23.852,47.375,43.835,25.47,32.881,20.143
24/04/2014 03.00,S16.T076,S109.T04,31.719,44.954,46.161,23.92,47.078,43.835,25.47,32.881,20.143
24/04/2014 04.00,S16.T077,S109.T05,35.089,45.015,46.161,24.385,47.375,43.835,25.762,32.881,20.143
24/04/2014 05.00,S16.T078,S109.T06,39.302,46.038,46.161,24.425,47.375,43.835,26.792,32.881,20.143
24/04/2014 06.00,S16.T079,S109.T07,46.832,45.88,45.597,24.345,44.257,42.417,30.114,18.111,15.046
24/04/2014 07.00,S16.T080,S109.T08,37.827,45.58,44.236,34.378,44.189,40.239,28.122,14.972,8.327
24/04/2014 08.00,S16.T081,S109.T09,34.866,45.018,43.446,31.945,43.44,39.861,23.306,13.194,6.083
24/04/2014 09.00,S16.T082,S109.T10,32.905,44.153,41.878,24.395,41.388,39.075,19.527,12.966,6.135
24/04/2014 10.00,S16.T083,S109.T11,32.5,44.153,42.115,21.093,41.164,38.678,13.427,12.966,6.486
24/04/2014 11.00,S16.T084,S109.T12,32.099,44.43,43.415,18.987,34.823,38.678,20.159,12.966,6.534
24/04/2014 12.00,S16.T085,S109.T13,32.065,44.43,44.786,20.023,36.334,39.861,22.931,12.966,7.891
24/04/2014 13.00,S16.T086,S109.T14,32.905,44.718,45.067,21.252,42.584,41.051,25.664,12.975,9.639
24/04/2014 14.00,S16.T087,S109.T15,32.905,45.123,45.101,24.252,43.532,41.614,26.22,13.238,10.681
24/04/2014 15.00,S16.T088,S109.T16,34.588,45.194,46.161,25.116,44.229,42.452,28.958,22.397,19.387
24/04/2014 16.00,S16.T089,S109.T17,35.845,46.384,46.161,25.558,44.56,43.367,29.904,32.881,20.062
24/04/2014 17.00,S16.T090,S109.T18,35.862,46.499,46.161,24.388,47.078,43.835,33.681,41.38,20.143
24/04/2014 18.00,S16.T091,S109.T19,34.604,45.5,46.161,25.879,47.078,43.835,36.437,41.856,20.143
24/04/2014 19.00,S16.T092,S109.T20,33.741,44.954,46.161,23.852,47.078,43.835,36.437,41.856,20.208
24/04/2014 20.00,S16.T093,S109.T21,33.741,44.954,46.161,23.149,47.078,43.835,30.945,37.591,20.143
24/04/2014 21.00,S16.T094,S109.T22,33.741,44.954,46.161,23.149,47.078,43.835,30.945,36.711,20.143
24/04/2014 22.00,S16.T095,S109.T23,33.438,44.954,46.161,23.149,47.078,43.835,25.933,35.677,20.143
24/04/2014 23.00,S16.T096,S109.T24,33.741,44.954,46.161,23.149,47.078,43.835,29.211,34.923,20.143
25/04/2014 00.00,S16.T097,S110.T01,32.677,24.579,14.06,30.445,46.055,48.233,26.752,44.46,14.483
25/04/2014 01.00,S16.T098,S110.T02,32.677,24.579,14.06,30.445,46.055,48.233,26.752,44.46,14.483
25/04/2014 02.00,S16.T099,S110.T03,32.828,24.579,14.06,30.445,46.055,48.233,26.752,44.46,14.483
25/04/2014 03.00,S16.T100,S110.T04,32.885,24.579,14.06,30.445,46.055,48.233,26.752,44.46,14.483
25/04/2014 04.00,S16.T101,S110.T05,32.947,24.605,14.06,30.445,46.055,48.233,26.752,44.46,14.483
25/04/2014 05.00,S16.T102,S110.T06,34.456,24.893,14.06,30.445,46.055,48.233,27.592,44.46,14.483
25/04/2014 06.00,S16.T103,S110.T07,33.359,24.262,13.7,31.479,38.113,46.068,29.092,42.554,13.539
25/04/2014 07.00,S16.T104,S110.T08,42.205,23.533,13.045,31.875,30.805,44.718,39.746,39.874,13.05
25/04/2014 08.00,S16.T105,S110.T09,34.778,22.793,12.71,33.882,27.899,43.697,27.739,36.323,12.718
25/04/2014 09.00,S16.T106,S110.T10,32.564,20.598,11.546,32.905,27.899,43.697,26.296,34.137,10.691
25/04/2014 10.00,S16.T107,S110.T11,33.168,22.615,11.95,32.6,39.993,43.697,25.051,32.424,10.691
25/04/2014 11.00,S16.T108,S110.T12,32.778,22.016,11.546,31.897,42.059,44.33,24.982,32.424,10.691
25/04/2014 12.00,S16.T109,S110.T13,32.042,22.016,11.546,31.675,44.256,44.718,24.982,32.618,10.983
25/04/2014 13.00,S16.T110,S110.T14,32.018,22.51,12.681,31.675,44.766,45.625,25.582,33.755,12.969
25/04/2014 14.00,S16.T111,S110.T15,32.668,23.179,13.503,32.483,45.692,46.036,26.019,37.729,13.333
25/04/2014 15.00,S16.T112,S110.T16,33.57,24.158,13.813,34.007,45.852,47.1,27.39,42.982,13.933
25/04/2014 16.00,S16.T113,S110.T17,35.666,24.579,14.017,35.773,50.29,48.233,30.737,44.46,14.483
25/04/2014 17.00,S16.T114,S110.T18,37.212,24.579,14.06,37.893,50.358,48.233,36.529,44.802,14.483
25/04/2014 18.00,S16.T115,S110.T19,35.097,24.579,14.06,43.943,50.358,49.132,38.046,44.802,14.483
25/04/2014 19.00,S16.T116,S110.T20,33.637,24.579,14.06,39.978,50.358,49.132,36.514,44.802,14.483
25/04/2014 20.00,S16.T117,S110.T21,32.677,24.579,14.06,37.49,50.358,49.132,31.932,44.46,14.483
25/04/2014 21.00,S16.T118,S110.T22,32.677,24.579,14.06,36.089,50.575,49.132,30.23,44.46,14.483
25/04/2014 22.00,S16.T119,S110.T23,32.677,24.579,14.06,35.828,50.575,49.132,27.042,44.46,14.483
25/04/2014 23.00,S16.T120,S110.T24,32.677,24.579,14.06,35.773,50.575,49.132,28.657,44.46,14.483
26/04/2014 00.00,S16.T121,S111.T01,31.53,17.79,19.305,33.725,44.79,47.723,25.346,14.003,4.642
26/04/2014 01.00,S16.T122,S111.T02,31.53,17.79,19.305,33.725,44.79,47.723,25.054,13.984,4.642
26/04/2014 02.00,S16.T123,S111.T03,31.946,17.79,19.305,33.725,44.79,47.723,24.226,13.729,4.642
26/04/2014 03.00,S16.T124,S111.T04,32.614,17.79,19.305,33.725,44.79,47.723,23.659,13.473,4.642
26/04/2014 04.00,S16.T125,S111.T05,32.988,17.79,19.305,33.753,44.79,47.723,23.547,13.473,4.642
26/04/2014 05.00,S16.T126,S111.T06,38.328,17.807,19.305,34.138,44.79,47.723,22.983,13.473,4.642
26/04/2014 06.00,S16.T127,S111.T07,37.536,17.79,19.305,34.383,44.79,47.723,22.642,13.473,4.642
26/04/2014 07.00,S16.T128,S111.T08,33.726,17.215,18.832,33.725,44.694,47.322,22.429,13.473,4.585
26/04/2014 08.00,S16.T129,S111.T09,31.53,16.334,17.474,33.591,43.775,45.998,20.088,6.239,3.67
26/04/2014 09.00,S16.T130,S111.T10,30.115,15.476,16.676,29.179,41.905,43.601,15.42,3.72,3.249
26/04/2014 10.00,S16.T131,S111.T11,29.185,15.476,16.676,27.854,41.905,43.601,13.484,3.679,3.249
26/04/2014 11.00,S16.T132,S111.T12,26.998,15.476,16.676,24.961,41.905,43.601,12.155,3.67,3.249
26/04/2014 12.00,S16.T133,S111.T13,26.998,15.476,17.052,24.961,41.905,44.04,12.155,3.67,3.274
26/04/2014 13.00,S16.T134,S111.T14,26.998,15.476,18.071,25.218,42.199,46.081,12.155,3.67,3.274
26/04/2014 14.00,S16.T135,S111.T15,28.15,16.867,18.737,29.19,44.03,46.944,12.155,3.67,3.353
26/04/2014 15.00,S16.T136,S111.T16,31.671,17.701,19.305,32.65,44.79,47.723,12.851,5.884,4.507
26/04/2014 16.00,S16.T137,S111.T17,33.055,17.79,19.305,34.038,44.79,47.723,15.585,13.283,4.642
26/04/2014 17.00,S16.T138,S111.T18,34.2,17.79,19.305,36.739,44.79,47.723,20.048,13.473,4.642
26/04/2014 18.00,S16.T139,S111.T19,37.477,17.894,19.305,38.738,45.76,47.723,20.088,13.473,4.642
26/04/2014 19.00,S16.T140,S111.T20,33.895,17.894,19.305,36.487,45.135,47.723,20.088,13.473,4.642
26/04/2014 20.00,S16.T141,S111.T21,31.996,17.79,19.305,34.697,44.79,47.723,20.088,13.473,4.642
26/04/2014 21.00,S16.T142,S111.T22,31.53,17.79,19.305,34.298,44.79,47.723,20.088,13.473,4.642
26/04/2014 22.00,S16.T143,S111.T23,31.53,17.79,19.305,33.745,44.79,47.723,20.088,13.473,4.647
26/04/2014 23.00,S16.T144,S111.T24,32.393,17.79,19.305,33.725,44.79,47.723,20.088,13.473,4.657
27/04/2014 00.00,S16.T145,S112.T01,34.319,46.314,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 01.00,S16.T146,S112.T02,34.319,46.314,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 02.00,S16.T147,S112.T03,34.319,46.452,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 03.00,S16.T148,S112.T04,34.319,46.59,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 04.00,S16.T149,S112.T05,34.319,46.718,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 05.00,S16.T150,S112.T06,34.319,46.518,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 06.00,S16.T151,S112.T07,34.319,45.885,46.76,33.282,46.232,52.456,22.394,45.419,19.035
27/04/2014 07.00,S16.T152,S112.T08,34.035,45.489,45.423,29.605,45.461,51.977,22.101,42.387,18.756
27/04/2014 08.00,S16.T153,S112.T09,31.826,41.618,44.003,25.944,44.004,49.956,13.246,18.517,16.233
27/04/2014 09.00,S16.T154,S112.T10,28.076,40.598,42.081,23.907,42.015,46.879,6.005,3.769,5.115
27/04/2014 10.00,S16.T155,S112.T11,28.387,40.598,42.081,23.316,41.461,46.879,3.8,3.748,3.779
27/04/2014 11.00,S16.T156,S112.T12,27.441,40.598,42.081,18.957,41.461,46.879,3.772,3.737,3.779
27/04/2014 12.00,S16.T157,S112.T13,27.441,40.598,42.081,18.957,41.461,46.879,3.772,3.737,3.779
27/04/2014 13.00,S16.T158,S112.T14,27.461,40.598,42.265,22.742,42.014,47.115,3.972,3.737,3.779
27/04/2014 14.00,S16.T159,S112.T15,29.115,43.167,44,24.767,44.004,50.211,12.827,7.489,8.519
27/04/2014 15.00,S16.T160,S112.T16,33.322,45.644,45.423,29.753,46.104,52.289,18.752,25.596,18.49
27/04/2014 16.00,S16.T161,S112.T17,33.882,45.644,46.036,33.282,46.232,52.456,22.797,44.758,19.035
27/04/2014 17.00,S16.T162,S112.T18,34.319,45.885,46.76,34.035,46.232,52.456,24.481,45.419,19.035
27/04/2014 18.00,S16.T163,S112.T19,34.516,45.885,46.76,40.037,46.4,52.456,25.961,45.419,19.035
27/04/2014 19.00,S16.T164,S112.T20,35.289,45.885,46.76,40.298,47.142,52.456,27.61,46.444,19.035
27/04/2014 20.00,S16.T165,S112.T21,35.289,45.885,46.76,37.29,46.4,52.456,29.49,46.483,19.035
27/04/2014 21.00,S16.T166,S112.T22,35.292,45.885,46.76,36.519,46.27,52.456,30.276,47.265,19.097
27/04/2014 22.00,S16.T167,S112.T23,34.902,45.885,46.76,33.623,46.232,52.456,28.542,46.45,19.035
27/04/2014 23.00,S16.T168,S112.T24,43.888,45.885,46.76,33.329,46.232,52.456,31.013,49.501,19.097
28/04/2014 00.00,S17.T001,S113.T01,38.008,51.654,60.021,33.882,45.935,46.726,30.872,46.835,47.244
28/04/2014 01.00,S17.T002,S113.T02,38.008,51.654,60.021,33.882,45.935,46.726,31.462,46.835,47.244
28/04/2014 02.00,S17.T003,S113.T03,38.008,51.654,60.021,33.882,45.935,46.726,31.746,47.08,47.244
28/04/2014 03.00,S17.T004,S113.T04,38.008,51.654,60.021,33.882,45.935,46.726,32.088,47.08,47.244
28/04/2014 04.00,S17.T005,S113.T05,38.605,51.654,60.021,33.882,45.935,46.726,32.895,47.08,47.244
28/04/2014 05.00,S17.T006,S113.T06,46.732,51.654,60.289,34.018,45.935,46.726,34.481,47.08,47.244
28/04/2014 06.00,S17.T007,S113.T07,52.152,50.236,51.732,41.471,44.429,44.727,43.613,45.624,45.106
28/04/2014 07.00,S17.T008,S113.T08,47.919,48.549,49.435,36.749,43.753,43.859,35.506,43.27,43.925
28/04/2014 08.00,S17.T009,S113.T09,38.778,48.476,49.215,33.279,42.727,42.433,31.514,42.291,43.149
28/04/2014 09.00,S17.T010,S113.T10,34.932,48.003,49.027,32.748,41.703,41.878,25.689,40.281,43.004
28/04/2014 10.00,S17.T011,S113.T11,34.902,48.003,49.027,32.931,43.168,42.496,23.952,40.281,43.004
28/04/2014 11.00,S17.T012,S113.T12,34.16,48.003,49.027,32.111,43.648,43.487,23.499,40.281,43.224
28/04/2014 12.00,S17.T013,S113.T13,34.16,48.003,49.027,32.111,44.505,44.276,23.499,40.281,44.534
28/04/2014 13.00,S17.T014,S113.T14,34.629,48.251,50.192,32.748,44.856,45.107,24.84,44.451,45.182
28/04/2014 14.00,S17.T015,S113.T15,34.78,48.251,50.313,33.189,44.988,45.107,26.166,44.451,45.295
28/04/2014 15.00,S17.T016,S113.T16,35.046,49.125,51.546,34.023,45.665,46.018,26.438,44.927,45.944
28/04/2014 16.00,S17.T017,S113.T17,38.008,49.706,54.701,35.928,46.076,46.726,33.043,46.49,47.244
28/04/2014 17.00,S17.T018,S113.T18,38.567,51.654,60.021,40.357,47.83,46.726,32.6,46.835,47.244
28/04/2014 18.00,S17.T019,S113.T19,42.87,51.654,60.021,42.871,49.209,46.777,36.311,46.835,47.244
28/04/2014 19.00,S17.T020,S113.T20,39.256,51.654,60.021,36.612,47.463,46.726,32.084,46.835,47.244
28/04/2014 20.00,S17.T021,S113.T21,39.256,51.654,60.021,35.392,46.076,46.726,30.19,46.835,47.244
28/04/2014 21.00,S17.T022,S113.T22,38.605,51.654,60.021,34.426,45.935,46.726,30.19,46.835,47.244
28/04/2014 22.00,S17.T023,S113.T23,38.605,51.654,60.021,34.023,45.935,46.726,30.19,46.835,47.244
28/04/2014 23.00,S17.T024,S113.T24,38.008,51.654,60.021,33.939,45.935,46.726,30.19,46.835,47.244
29/04/2014 00.00,S17.T025,S114.T01,46.916,57.054,65.08,34.253,44.363,45.903,26.908,43.58,45.23
29/04/2014 01.00,S17.T026,S114.T02,46.916,57.054,65.08,34.253,43.966,45.903,26.908,43.58,45.23
29/04/2014 02.00,S17.T027,S114.T03,46.916,57.054,65.08,34.253,44.488,45.903,26.908,43.58,45.23
29/04/2014 03.00,S17.T028,S114.T04,46.916,57.054,65.08,34.253,44.505,45.903,26.908,43.58,45.23
29/04/2014 04.00,S17.T029,S114.T05,52.754,57.054,65.08,34.475,44.505,45.903,26.908,43.58,45.23
29/04/2014 05.00,S17.T030,S114.T06,73.676,57.054,65.08,35.532,44.505,45.903,29.436,43.58,45.23
29/04/2014 06.00,S17.T031,S114.T07,55.117,47.348,50.868,36.332,43.026,44.637,26.622,37.423,43.106
29/04/2014 07.00,S17.T032,S114.T08,46.355,48.549,50.785,41.92,43.455,43.905,27.104,35.376,42.321
29/04/2014 08.00,S17.T033,S114.T09,40.28,48.223,50.389,38.776,44.286,43.865,25.819,25.494,41.844
29/04/2014 09.00,S17.T034,S114.T10,35.155,47.852,49.231,35.052,43.336,42.958,22.331,25.077,41.462
29/04/2014 10.00,S17.T035,S114.T11,33.741,47.348,49.12,34.108,43.711,44.394,22.331,25.077,41.462
29/04/2014 11.00,S17.T036,S114.T12,32.7,47.348,49.12,32.905,42.16,42.394,22.931,33.439,41.62
29/04/2014 12.00,S17.T037,S114.T13,32.7,47.348,49.12,32.905,42.16,42.394,22.931,36.026,41.62
29/04/2014 13.00,S17.T038,S114.T14,33.407,47.348,49.362,33.001,42.16,43.45,22.931,36.852,41.62
29/04/2014 14.00,S17.T039,S114.T15,33.761,47.852,50.785,33.219,42.676,43.927,23.474,37.049,42.585
29/04/2014 15.00,S17.T040,S114.T16,34.932,48.792,51.495,34.253,43.962,45.307,23.474,39.166,43.606
29/04/2014 16.00,S17.T041,S114.T17,40.339,50.969,54.781,35.016,43.962,45.903,26.908,40.88,44.821
29/04/2014 17.00,S17.T042,S114.T18,46.916,56.8,63.41,36.011,43.972,45.903,28.18,43.58,45.23
29/04/2014 18.00,S17.T043,S114.T19,47.784,57.054,65.08,35.446,43.68,45.903,30.114,43.58,45.23
29/04/2014 19.00,S17.T044,S114.T20,47.784,57.054,65.08,36.187,43.68,45.903,28.816,43.651,45.23
29/04/2014 20.00,S17.T045,S114.T21,47.221,57.054,65.08,34.944,43.68,45.903,28.18,43.651,45.23
29/04/2014 21.00,S17.T046,S114.T22,46.916,57.054,65.08,34.318,43.68,45.903,28.816,43.651,45.23
29/04/2014 22.00,S17.T047,S114.T23,46.916,57.054,65.08,33.644,43.68,45.903,28.816,43.734,45.23
29/04/2014 23.00,S17.T048,S114.T24,46.916,57.054,65.08,33.644,44,45.903,31.958,44.15,45.23
30/04/2014 00.00,S17.T049,S115.T01,37.285,50.61,47.064,32.908,14.768,4.605,29.495,18.398,14.966
30/04/2014 01.00,S17.T050,S115.T02,37.285,50.61,47.064,32.668,14.523,4.605,29.495,18.398,14.966
30/04/2014 02.00,S17.T051,S115.T03,37.391,50.829,47.064,29.885,14.479,4.605,29.495,18.398,14.966
30/04/2014 03.00,S17.T052,S115.T04,38.129,50.829,47.064,26.761,14.479,4.605,29.525,18.398,14.966
30/04/2014 04.00,S17.T053,S115.T05,55.612,50.837,47.064,32.668,14.582,4.62,29.792,18.398,14.966
30/04/2014 05.00,S17.T054,S115.T06,81.045,50.837,47.064,37.965,14.687,4.696,29.792,18.398,14.966
30/04/2014 06.00,S17.T055,S115.T07,70.58,50.225,45.122,34.492,13.935,4.569,29.792,16.617,14.31
30/04/2014 07.00,S17.T056,S115.T08,53.736,49.382,44.528,32.905,12.791,3.548,30.497,8.114,7.497
30/04/2014 08.00,S17.T057,S115.T09,45.842,48.703,44.338,26.404,9.308,3.409,26.805,5.165,6.416
30/04/2014 09.00,S17.T058,S115.T10,36.225,47.992,44.132,23.449,6.837,3.4,24.53,3.923,5.229
30/04/2014 10.00,S17.T059,S115.T11,34.147,47.049,43.268,22.511,6.649,3.385,23.377,3.91,5.331
30/04/2014 11.00,S17.T060,S115.T12,33.877,46.242,41.463,21.699,6.649,3.385,21.533,3.91,5.374
30/04/2014 12.00,S17.T061,S115.T13,33.021,45.855,41.463,21.699,6.906,3.385,21.533,3.913,7.003
