time,2012 Denmark_HH80_SP400
09/01/2012 08.00,0
09/01/2012 09.00,0.0001
09/01/2012 10.00,0.0025
09/01/2012 11.00,0.0106
09/01/2012 12.00,0.0179
09/01/2012 13.00,0.0203
09/01/2012 14.00,0.0524
09/01/2012 15.00,0.0846
09/01/2012 16.00,0.0682
09/01/2012 17.00,0.0928
09/01/2012 18.00,0.2164
09/01/2012 19.00,0.4402
09/01/2012 20.00,0.5842
09/01/2012 21.00,0.6255
09/01/2012 22.00,0.4787
09/01/2012 23.00,0.4613
10/01/2012 00.00,0.9271
10/01/2012 01.00,0.881
10/01/2012 02.00,0.7399
10/01/2012 03.00,0.5341
10/01/2012 04.00,0.393
10/01/2012 05.00,0.3613
10/01/2012 06.00,0.3204
10/01/2012 07.00,0.292
10/01/2012 08.00,0.2512
10/01/2012 09.00,0.3159
10/01/2012 10.00,0.3375
10/01/2012 11.00,0.3648
10/01/2012 12.00,0.3933
10/01/2012 13.00,0.3843
10/01/2012 14.00,0.355
10/01/2012 15.00,0.3597
10/01/2012 16.00,0.4153
10/01/2012 17.00,0.4712
10/01/2012 18.00,0.5231
10/01/2012 19.00,0.6016
10/01/2012 20.00,0.6437
10/01/2012 21.00,0.6389
10/01/2012 22.00,0.6044
10/01/2012 23.00,0.6786
11/01/2012 00.00,0.5299
11/01/2012 01.00,0.5581
11/01/2012 02.00,0.5748
11/01/2012 03.00,0.6027
11/01/2012 04.00,0.6265
11/01/2012 05.00,0.5822
11/01/2012 06.00,0.5827
11/01/2012 07.00,0.6501
11/01/2012 08.00,0.6468
11/01/2012 09.00,0.6765
11/01/2012 10.00,0.6685
11/01/2012 11.00,0.6155
11/01/2012 12.00,0.5668
11/01/2012 13.00,0.5078
11/01/2012 14.00,0.4636
11/01/2012 15.00,0.4297
11/01/2012 16.00,0.3953
11/01/2012 17.00,0.4763
11/01/2012 18.00,0.4726
11/01/2012 19.00,0.5922
11/01/2012 20.00,0.5482
11/01/2012 21.00,0.6321
11/01/2012 22.00,0.7122
11/01/2012 23.00,0.8108
12/01/2012 00.00,0.6048
12/01/2012 01.00,0.6795
12/01/2012 02.00,0.7726
12/01/2012 03.00,0.885
12/01/2012 04.00,0.8975
12/01/2012 05.00,0.9252
12/01/2012 06.00,0.935
12/01/2012 07.00,0.9398
12/01/2012 08.00,0.9459
12/01/2012 09.00,0.9486
12/01/2012 10.00,0.9491
12/01/2012 11.00,0.9495
12/01/2012 12.00,0.9492
12/01/2012 13.00,0.9473
12/01/2012 14.00,0.9483
12/01/2012 15.00,0.9454
12/01/2012 16.00,0.8917
12/01/2012 17.00,0.7389
12/01/2012 18.00,0.7984
12/01/2012 19.00,0.8124
12/01/2012 20.00,0.8557
12/01/2012 21.00,0.8712
12/01/2012 22.00,0.8185
12/01/2012 23.00,0.8152
13/01/2012 00.00,0.9032
13/01/2012 01.00,0.8354
13/01/2012 02.00,0.8705
13/01/2012 03.00,0.8567
13/01/2012 04.00,0.8135
13/01/2012 05.00,0.873
13/01/2012 06.00,0.8733
13/01/2012 07.00,0.8362
13/01/2012 08.00,0.6997
13/01/2012 09.00,0.5127
13/01/2012 10.00,0.4988
13/01/2012 11.00,0.4381
13/01/2012 12.00,0.5704
13/01/2012 13.00,0.8354
13/01/2012 14.00,0.8822
13/01/2012 15.00,0.9044
13/01/2012 16.00,0.8991
13/01/2012 17.00,0.8928
13/01/2012 18.00,0.8775
13/01/2012 19.00,0.8895
13/01/2012 20.00,0.927
13/01/2012 21.00,0.9377
13/01/2012 22.00,0.9421
13/01/2012 23.00,0.9455
14/01/2012 00.00,0.9485
14/01/2012 01.00,0.9485
14/01/2012 02.00,0.948
14/01/2012 03.00,0.9474
14/01/2012 04.00,0.9413
14/01/2012 05.00,0.9232
14/01/2012 06.00,0.9175
14/01/2012 07.00,0.9135
14/01/2012 08.00,0.8932
14/01/2012 09.00,0.848
14/01/2012 10.00,0.7777
14/01/2012 11.00,0.7712
14/01/2012 12.00,0.8375
14/01/2012 13.00,0.9097
14/01/2012 14.00,0.9322
14/01/2012 15.00,0.9337
14/01/2012 16.00,0.913
14/01/2012 17.00,0.9106
14/01/2012 18.00,0.8796
14/01/2012 19.00,0.8609
14/01/2012 20.00,0.8598
14/01/2012 21.00,0.8726
14/01/2012 22.00,0.8155
14/01/2012 23.00,0.687
15/01/2012 00.00,0.3633
15/01/2012 01.00,0.3399
15/01/2012 02.00,0.4088
15/01/2012 03.00,0.422
15/01/2012 04.00,0.3568
15/01/2012 05.00,0.2522
15/01/2012 06.00,0.1899
15/01/2012 07.00,0.1371
15/01/2012 08.00,0.0951
15/01/2012 09.00,0.0628
15/01/2012 10.00,0.0132
15/01/2012 11.00,0.01
15/01/2012 12.00,0.0122
15/01/2012 13.00,0.0346
15/01/2012 14.00,0.0487
15/01/2012 15.00,0.0993
15/01/2012 16.00,0.1699
15/01/2012 17.00,0.2304
15/01/2012 18.00,0.2956
15/01/2012 19.00,0.3239
15/01/2012 20.00,0.2465
15/01/2012 21.00,0.1883
15/01/2012 22.00,0.1457
15/01/2012 23.00,0.1537
16/01/2012 00.00,0.0455
16/01/2012 01.00,0.0417
16/01/2012 02.00,0.0511
16/01/2012 03.00,0.0737
16/01/2012 04.00,0.0766
16/01/2012 05.00,0.0471
16/01/2012 06.00,0.0432
16/01/2012 07.00,0.0381
16/01/2012 08.00,0.0642
16/01/2012 09.00,0.0641
16/01/2012 10.00,0.0977
16/01/2012 11.00,0.046
16/01/2012 12.00,0.0385
16/01/2012 13.00,0.0483
16/01/2012 14.00,0.0875
16/01/2012 15.00,0.1047
16/01/2012 16.00,0.0878
16/01/2012 17.00,0.0959
16/01/2012 18.00,0.1136
16/01/2012 19.00,0.1497
16/01/2012 20.00,0.1559
16/01/2012 21.00,0.1858
16/01/2012 22.00,0.2965
16/01/2012 23.00,0.298
17/01/2012 00.00,0.4752
17/01/2012 01.00,0.3799
17/01/2012 02.00,0.302
17/01/2012 03.00,0.2681
17/01/2012 04.00,0.2517
17/01/2012 05.00,0.255
17/01/2012 06.00,0.282
17/01/2012 07.00,0.2575
17/01/2012 08.00,0.1834
17/01/2012 09.00,0.1305
17/01/2012 10.00,0.1408
17/01/2012 11.00,0.1148
17/01/2012 12.00,0.1058
17/01/2012 13.00,0.1321
17/01/2012 14.00,0.1382
17/01/2012 15.00,0.1322
17/01/2012 16.00,0.094
17/01/2012 17.00,0.0951
17/01/2012 18.00,0.1605
17/01/2012 19.00,0.2492
17/01/2012 20.00,0.3939
17/01/2012 21.00,0.4198
17/01/2012 22.00,0.3928
17/01/2012 23.00,0.3655
18/01/2012 00.00,0.0486
18/01/2012 01.00,0.0701
18/01/2012 02.00,0.1037
18/01/2012 03.00,0.0948
18/01/2012 04.00,0.0971
18/01/2012 05.00,0.0691
18/01/2012 06.00,0.0303
18/01/2012 07.00,0.0306
18/01/2012 08.00,0.0537
18/01/2012 09.00,0.051
18/01/2012 10.00,0.0331
18/01/2012 11.00,0.0769
18/01/2012 12.00,0.1755
18/01/2012 13.00,0.265
18/01/2012 14.00,0.2437
18/01/2012 15.00,0.2618
18/01/2012 16.00,0.2823
18/01/2012 17.00,0.3256
18/01/2012 18.00,0.2965
18/01/2012 19.00,0.1879
18/01/2012 20.00,0.1179
18/01/2012 21.00,0.1967
18/01/2012 22.00,0.1834
18/01/2012 23.00,0.1651
19/01/2012 00.00,0.5384
19/01/2012 01.00,0.597
19/01/2012 02.00,0.5773
19/01/2012 03.00,0.5803
19/01/2012 04.00,0.616
