Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S24-T062,88.91542892,3.071005846,3.067747613,2.946342009,2.164982564,106.2965778,15.40183973,3.077532099,3.07426734,2.259068987,86.77309041,1.915077326,2.261517732,2.263968928,2.162630355
S24-T063,68.41534527,3.071005846,3.061240919,2.946342009,2.164982564,106.2965778,15.40183973,3.07426734,3.067747613,2.259068987,65.31476136,1.91928825,2.261517732,2.263968928,2.162630355
S24-T064,68.41534527,3.080800126,3.061240919,2.946342009,2.167337128,106.2965778,15.52773315,3.077532099,3.07426734,2.259068987,65.31476136,2.263968928,2.261517732,2.266422578,2.164982564
S24-T065,68.41534527,3.245889901,3.071005846,3.064492638,2.283627551,106.2965778,62.64283136,3.230291088,3.077532099,2.946342009,65.31476136,3.071005846,2.9369507,2.940078005,2.181514091
S24-T066,68.41534527,45.48799409,9.039278678,15.41744441,3.249326454,123.4023837,104.4561497,70.41898029,83.33716048,103.3621061,65.31476136,3.245889901,3.242456784,3.245889901,3.077532099
S24-T067,120.6015393,82.19447905,67.03929152,58.04426031,50.72372859,123.6632695,107.7051117,105.0756602,100.4139532,113.3370715,119.7704,15.40183973,19.25575221,27.45251922,17.60154932
S24-T068,132.6705698,99.82160221,67.10658534,59.72503103,53.42997818,133.2500142,110.7187363,108.1511601,102.9394405,117.3796861,133.1282727,101.8276892,19.79934315,27.53560457,18.54052012
S24-T069,132.6705698,99.92171115,67.17394651,59.72503103,53.48364905,133.2710049,110.8575739,108.1511601,102.9394405,117.3796861,133.1282727,102.1343471,19.85942298,27.53560457,18.55362718
S24-T070,132.6705698,99.92171115,67.17394651,59.72503103,53.48364905,133.2500142,110.8575739,108.1511601,102.9394405,117.4973707,132.9949572,102.1343471,20.23530893,27.53560457,18.54052012
S24-T071,132.6705698,99.92171115,67.10658534,59.72503103,53.42997818,133.2191415,110.8575739,108.1511601,102.9394405,117.4973707,132.9949572,102.0320255,20.27621535,27.50788174,18.54052012
S24-T072,100.660406,99.72159338,67.10658534,59.66511877,53.42997818,123.6499342,107.705117,108.1511546,102.9394405,117.1446698,100.6220631,101.6237614,20.23530893,27.50788174,18.53488632
