MTU (CET/CEST),2023,2022,2021
03.04.2023 11:00 - 03.04.2023 12:00,0.028318584,0.337191358,0.071946309
03.04.2023 12:00 - 03.04.2023 13:00,0.028824273,0.344135802,0.078926174
03.04.2023 13:00 - 03.04.2023 14:00,0.028571429,0.397119342,0.092348993
03.04.2023 14:00 - 03.04.2023 15:00,0.029329962,0.467592593,0.108187919
03.04.2023 15:00 - 03.04.2023 16:00,0.031605563,0.56095679,0.125369128
03.04.2023 16:00 - 03.04.2023 17:00,0.036915297,0.587962963,0.133422819
03.04.2023 17:00 - 03.04.2023 18:00,0.039696587,0.589248971,0.124832215
03.04.2023 18:00 - 03.04.2023 19:00,0.037673831,0.595936214,0.109261745
03.04.2023 19:00 - 03.04.2023 20:00,0.03034134,0.590277778,0.096375839
03.04.2023 20:00 - 03.04.2023 21:00,0.026042984,0.596450617,0.09557047
03.04.2023 21:00 - 03.04.2023 22:00,0.02300885,0.56404321,0.113288591
03.04.2023 22:00 - 03.04.2023 23:00,0.020986094,0.554012346,0.134496644
03.04.2023 23:00 - 04.04.2023 00:00,0.021238938,0.570987654,0.151409396
04.04.2023 00:00 - 04.04.2023 01:00,0.02022756,0.588734568,0.152214765
04.04.2023 01:00 - 04.04.2023 02:00,0.024273072,0.590277778,0.188724832
04.04.2023 02:00 - 04.04.2023 03:00,0.030088496,0.617283951,0.23033557
04.04.2023 03:00 - 04.04.2023 04:00,0.037926675,0.642746914,0.278120805
04.04.2023 04:00 - 04.04.2023 05:00,0.043489254,0.667695473,0.324026846
04.04.2023 05:00 - 04.04.2023 06:00,0.046017699,0.655349794,0.355167785
04.04.2023 06:00 - 04.04.2023 07:00,0.04551201,0.677211934,0.390872483
04.04.2023 07:00 - 04.04.2023 08:00,0.046523388,0.70936214,0.43033557
04.04.2023 08:00 - 04.04.2023 09:00,0.044753477,0.72968107,0.482147651
04.04.2023 09:00 - 04.04.2023 10:00,0.051833123,0.721965021,0.543087248
04.04.2023 10:00 - 04.04.2023 11:00,0.06346397,0.711162551,0.59409396
04.04.2023 11:00 - 04.04.2023 12:00,0.07079646,0.694958848,0.622281879
04.04.2023 12:00 - 04.04.2023 13:00,0.07585335,0.701646091,0.640805369
04.04.2023 13:00 - 04.04.2023 14:00,0.091782554,0.775977366,0.655838926
04.04.2023 14:00 - 04.04.2023 15:00,0.1011378,0.789351852,0.684563758
04.04.2023 15:00 - 04.04.2023 16:00,0.094058154,0.799125514,0.756778523
04.04.2023 16:00 - 04.04.2023 17:00,0.080657396,0.746656379,0.816912752
04.04.2023 17:00 - 04.04.2023 18:00,0.074841972,0.70781893,0.839731544
04.04.2023 18:00 - 04.04.2023 19:00,0.069785082,0.661265432,0.856375839
04.04.2023 19:00 - 04.04.2023 20:00,0.057142857,0.620113169,0.857986577
04.04.2023 20:00 - 04.04.2023 21:00,0.052844501,0.60468107,0.900671141
04.04.2023 21:00 - 04.04.2023 22:00,0.057901391,0.560699588,0.891006711
04.04.2023 22:00 - 04.04.2023 23:00,0.063716814,0.543467078,0.882416107
04.04.2023 23:00 - 05.04.2023 00:00,0.069785082,0.543467078,0.884295302
05.04.2023 00:00 - 05.04.2023 01:00,0.039190898,0.639403292,0.884295302
05.04.2023 01:00 - 05.04.2023 02:00,0.036662453,0.64686214,0.806174497
05.04.2023 02:00 - 05.04.2023 03:00,0.032616941,0.646604938,0.773959732
05.04.2023 03:00 - 05.04.2023 04:00,0.028318584,0.608796296,0.756510067
05.04.2023 04:00 - 05.04.2023 05:00,0.02300885,0.574845679,0.725637584
05.04.2023 05:00 - 05.04.2023 06:00,0.016434893,0.502829218,0.697986577
05.04.2023 06:00 - 05.04.2023 07:00,0.012136536,0.451903292,0.684563758
05.04.2023 07:00 - 05.04.2023 08:00,0.010619469,0.41718107,0.675973154
05.04.2023 08:00 - 05.04.2023 09:00,0.009102402,0.400205761,0.709798658
05.04.2023 09:00 - 05.04.2023 10:00,0.008343869,0.428755144,0.743892617
05.04.2023 10:00 - 05.04.2023 11:00,0.009608091,0.479423868,0.781208054
05.04.2023 11:00 - 05.04.2023 12:00,0.013147914,0.50154321,0.813959732
05.04.2023 12:00 - 05.04.2023 13:00,0.020986094,0.522890947,0.806174497
05.04.2023 13:00 - 05.04.2023 14:00,0.034892541,0.585648148,0.72966443
05.04.2023 14:00 - 05.04.2023 15:00,0.046270544,0.619341564,0.667919463
05.04.2023 15:00 - 05.04.2023 16:00,0.053855879,0.651748971,0.66442953
05.04.2023 16:00 - 05.04.2023 17:00,0.059671302,0.616512346,0.810738255
05.04.2023 17:00 - 05.04.2023 18:00,0.058912769,0.551440329,0.854228188
05.04.2023 18:00 - 05.04.2023 19:00,0.055372946,0.465277778,0.832483221
05.04.2023 19:00 - 05.04.2023 20:00,0.045259166,0.363940329,0.712214765
05.04.2023 20:00 - 05.04.2023 21:00,0.038685209,0.279063786,0.731812081
05.04.2023 21:00 - 05.04.2023 22:00,0.033881163,0.213477366,0.764295302
05.04.2023 22:00 - 05.04.2023 23:00,0.028571429,0.166666667,0.776644295
05.04.2023 23:00 - 06.04.2023 00:00,0.022503161,0.125514403,0.798120805
06.04.2023 00:00 - 06.04.2023 01:00,0.035903919,0.109053498,0.810201342
06.04.2023 01:00 - 06.04.2023 02:00,0.030594185,0.093106996,0.771812081
06.04.2023 02:00 - 06.04.2023 03:00,0.028318584,0.089763374,0.755704698
06.04.2023 03:00 - 06.04.2023 04:00,0.02806574,0.096965021,0.734228188
06.04.2023 04:00 - 06.04.2023 05:00,0.027054362,0.110853909,0.702281879
06.04.2023 05:00 - 06.04.2023 06:00,0.027560051,0.137345679,0.690738255
06.04.2023 06:00 - 06.04.2023 07:00,0.032364096,0.20627572,0.703087248
06.04.2023 07:00 - 06.04.2023 08:00,0.036915297,0.291666667,0.68966443
06.04.2023 08:00 - 06.04.2023 09:00,0.040707965,0.390432099,0.711409396
06.04.2023 09:00 - 06.04.2023 10:00,0.053097345,0.487139918,0.730201342
06.04.2023 10:00 - 06.04.2023 11:00,0.06852086,0.545010288,0.764832215
06.04.2023 11:00 - 06.04.2023 12:00,0.091782554,0.550925926,0.798926174
06.04.2023 12:00 - 06.04.2023 13:00,0.123640961,0.564300412,0.83033557
06.04.2023 13:00 - 06.04.2023 14:00,0.159292035,0.582047325,0.819328859
06.04.2023 14:00 - 06.04.2023 15:00,0.181036662,0.570473251,0.804832215
06.04.2023 15:00 - 06.04.2023 16:00,0.191908976,0.5781893,0.823355705
06.04.2023 16:00 - 06.04.2023 17:00,0.202528445,0.527520576,0.851812081
06.04.2023 17:00 - 06.04.2023 18:00,0.215676359,0.543981481,0.846174497
06.04.2023 18:00 - 06.04.2023 19:00,0.222503161,0.552211934,0.832483221
06.04.2023 19:00 - 06.04.2023 20:00,0.207585335,0.522119342,0.747114094
06.04.2023 20:00 - 06.04.2023 21:00,0.216940582,0.467335391,0.644563758
06.04.2023 21:00 - 06.04.2023 22:00,0.257901391,0.364711934,0.478389262
06.04.2023 22:00 - 06.04.2023 23:00,0.287484197,0.278806584,0.337986577
06.04.2023 23:00 - 07.04.2023 00:00,0.285714286,0.239711934,0.246711409
07.04.2023 00:00 - 07.04.2023 01:00,0.399241466,0.204218107,0.374228188
07.04.2023 01:00 - 07.04.2023 02:00,0.398482933,0.200360082,0.294496644
07.04.2023 02:00 - 07.04.2023 03:00,0.391403287,0.202932099,0.23704698
07.04.2023 03:00 - 07.04.2023 04:00,0.365360303,0.210390947,0.196241611
07.04.2023 04:00 - 07.04.2023 05:00,0.33147914,0.217849794,0.16590604
07.04.2023 05:00 - 07.04.2023 06:00,0.291276865,0.229166667,0.144697987
07.04.2023 06:00 - 07.04.2023 07:00,0.250316056,0.291409465,0.138791946
07.04.2023 07:00 - 07.04.2023 08:00,0.217699115,0.363425926,0.137181208
07.04.2023 08:00 - 07.04.2023 09:00,0.193931732,0.406378601,0.14442953
07.04.2023 09:00 - 07.04.2023 10:00,0.192667509,0.421553498,0.183355705
07.04.2023 10:00 - 07.04.2023 11:00,0.183059418,0.461934156,0.251275168
07.04.2023 11:00 - 07.04.2023 12:00,0.180783818,0.47505144,0.29852349
07.04.2023 12:00 - 07.04.2023 13:00,0.192414665,0.483539095,0.360536913
07.04.2023 13:00 - 07.04.2023 14:00,0.204551201,0.516975309,0.417718121
07.04.2023 14:00 - 07.04.2023 15:00,0.212389381,0.521090535,0.453691275
07.04.2023 15:00 - 07.04.2023 16:00,0.21289507,0.507458848,0.502013423
07.04.2023 16:00 - 07.04.2023 17:00,0.206573957,0.441358025,0.543087248
07.04.2023 17:00 - 07.04.2023 18:00,0.196207332,0.3906893,0.546845638
07.04.2023 18:00 - 07.04.2023 19:00,0.170922882,0.333333333,0.515973154
07.04.2023 19:00 - 07.04.2023 20:00,0.140328698,0.304012346,0.459865772
07.04.2023 20:00 - 07.04.2023 21:00,0.132996207,0.344393004,0.45557047
07.04.2023 21:00 - 07.04.2023 22:00,0.141087231,0.423353909,0.454765101
07.04.2023 22:00 - 07.04.2023 23:00,0.140834387,0.503858025,0.453691275
07.04.2023 23:00 - 08.04.2023 00:00,0.131984829,0.599022634,0.451006711
08.04.2023 00:00 - 08.04.2023 01:00,0.191656131,0.590792181,0.555704698
08.04.2023 01:00 - 08.04.2023 02:00,0.178761062,0.560699588,0.51704698
08.04.2023 02:00 - 08.04.2023 03:00,0.16687737,0.572016461,0.508456376
08.04.2023 03:00 - 08.04.2023 04:00,0.156510746,0.591049383,0.499060403
08.04.2023 04:00 - 08.04.2023 05:00,0.145891277,0.590020576,0.478389262
08.04.2023 05:00 - 08.04.2023 06:00,0.137800253,0.552726337,0.450201342
08.04.2023 06:00 - 08.04.2023 07:00,0.133501896,0.563271605,0.436778523
08.04.2023 07:00 - 08.04.2023 08:00,0.13147914,0.588734568,0.406442953
08.04.2023 08:00 - 08.04.2023 09:00,0.129962073,0.619341564,0.417181208
08.04.2023 09:00 - 08.04.2023 10:00,0.141340076,0.619341564,0.450738255
08.04.2023 10:00 - 08.04.2023 11:00,0.140581542,0.612654321,0.488590604
08.04.2023 11:00 - 08.04.2023 12:00,0.124652339,0.587191358,0.504161074
08.04.2023 12:00 - 08.04.2023 13:00,0.124905183,0.572273663,0.532080537
08.04.2023 13:00 - 08.04.2023 14:00,0.121112516,0.611882716,0.574765101
08.04.2023 14:00 - 08.04.2023 15:00,0.118836915,0.653549383,0.642147651
08.04.2023 15:00 - 08.04.2023 16:00,0.117572693,0.718106996,0.726174497
08.04.2023 16:00 - 08.04.2023 17:00,0.115549937,0.703703704,0.796241611
08.04.2023 17:00 - 08.04.2023 18:00,0.110998736,0.705504115,0.817986577
08.04.2023 18:00 - 08.04.2023 19:00,0.100884956,0.676183128,0.823624161
08.04.2023 19:00 - 08.04.2023 20:00,0.084955752,0.623199588,0.800268456
08.04.2023 20:00 - 08.04.2023 21:00,0.084702908,0.590792181,0.819328859
08.04.2023 21:00 - 08.04.2023 22:00,0.0988622,0.550925926,0.828187919
08.04.2023 22:00 - 08.04.2023 23:00,0.105941846,0.514917695,0.846979866
08.04.2023 23:00 - 09.04.2023 00:00,0.097092288,0.515174897,0.866845638
09.04.2023 00:00 - 09.04.2023 01:00,0.062452592,0.513888889,0.883221477
09.04.2023 01:00 - 09.04.2023 02:00,0.050821745,0.541152263,0.844563758
09.04.2023 02:00 - 09.04.2023 03:00,0.036662453,0.584104938,0.848322148
09.04.2023 03:00 - 09.04.2023 04:00,0.027307206,0.617283951,0.841073826
09.04.2023 04:00 - 09.04.2023 05:00,0.024273072,0.639660494,0.837852349
09.04.2023 05:00 - 09.04.2023 06:00,0.02528445,0.619855967,0.847516779
09.04.2023 06:00 - 09.04.2023 07:00,0.02528445,0.637602881,0.876778523
09.04.2023 07:00 - 09.04.2023 08:00,0.022756005,0.664351852,0.866577181
09.04.2023 08:00 - 09.04.2023 09:00,0.019216182,0.710648148,0.854496644
09.04.2023 09:00 - 09.04.2023 10:00,0.016940582,0.739711934,0.819328859
09.04.2023 10:00 - 09.04.2023 11:00,0.01517067,0.751028807,0.819060403
09.04.2023 11:00 - 09.04.2023 12:00,0.016940582,0.740740741,0.83409396
09.04.2023 12:00 - 09.04.2023 13:00,0.022250316,0.703446502,0.837852349
09.04.2023 13:00 - 09.04.2023 14:00,0.032869785,0.726080247,0.821208054
09.04.2023 14:00 - 09.04.2023 15:00,0.043489254,0.732510288,0.814228188
09.04.2023 15:00 - 09.04.2023 16:00,0.052591656,0.788323045,0.826845638
09.04.2023 16:00 - 09.04.2023 17:00,0.056131479,0.72813786,0.845369128
09.04.2023 17:00 - 09.04.2023 18:00,0.057142857,0.803755144,0.832483221
09.04.2023 18:00 - 09.04.2023 19:00,0.06068268,0.806584362,0.770201342
09.04.2023 19:00 - 09.04.2023 20:00,0.060935525,0.784979424,0.671409396
09.04.2023 20:00 - 09.04.2023 21:00,0.06852086,0.781893004,0.605637584
09.04.2023 21:00 - 09.04.2023 22:00,0.088242731,0.742798354,0.55033557
09.04.2023 22:00 - 09.04.2023 23:00,0.115549937,0.712962963,0.512483221
09.04.2023 23:00 - 10.04.2023 00:00,0.129962073,0.721707819,0.483489933
10.04.2023 00:00 - 10.04.2023 01:00,0.221491783,0.674639918,0.437852349
10.04.2023 01:00 - 10.04.2023 02:00,0.241972187,0.676697531,0.424697987
10.04.2023 02:00 - 10.04.2023 03:00,0.254108723,0.682613169,0.420939597
10.04.2023 03:00 - 10.04.2023 04:00,0.268268015,0.684927984,0.4
10.04.2023 04:00 - 10.04.2023 05:00,0.279646018,0.682098765,0.363758389
10.04.2023 05:00 - 10.04.2023 06:00,0.286725664,0.650205761,0.326442953
10.04.2023 06:00 - 10.04.2023 07:00,0.280404551,0.656121399,0.312483221
10.04.2023 07:00 - 10.04.2023 08:00,0.271807838,0.662294239,0.30147651
10.04.2023 08:00 - 10.04.2023 09:00,0.271807838,0.693415638,0.299865772
10.04.2023 09:00 - 10.04.2023 10:00,0.319595449,0.714248971,0.315436242
10.04.2023 10:00 - 10.04.2023 11:00,0.35954488,0.730195473,0.320536913
10.04.2023 11:00 - 10.04.2023 12:00,0.378002528,0.725308642,0.288590604
10.04.2023 12:00 - 10.04.2023 13:00,0.411883692,0.716820988,0.251006711
10.04.2023 13:00 - 10.04.2023 14:00,0.411630847,0.742026749,0.215033557
10.04.2023 14:00 - 10.04.2023 15:00,0.431605563,0.769032922,0.192214765
10.04.2023 15:00 - 10.04.2023 16:00,0.454867257,0.806069959,0.180134228
10.04.2023 16:00 - 10.04.2023 17:00,0.512515803,0.74382716,0.158657718
10.04.2023 17:00 - 10.04.2023 18:00,0.563590392,0.782921811,0.13852349
10.04.2023 18:00 - 10.04.2023 19:00,0.567130215,0.757716049,0.10738255
10.04.2023 19:00 - 10.04.2023 20:00,0.520101138,0.68595679,0.07704698
10.04.2023 20:00 - 10.04.2023 21:00,0.50897598,0.634516461,0.060939597
10.04.2023 21:00 - 10.04.2023 22:00,0.527939317,0.56558642,0.053959732
10.04.2023 22:00 - 10.04.2023 23:00,0.559039191,0.510802469,0.046442953
10.04.2023 23:00 - 11.04.2023 00:00,0.566624526,0.482253086,0.045637584
11.04.2023 00:00 - 11.04.2023 01:00,0.651074589,0.410236626,0.028724832
11.04.2023 01:00 - 11.04.2023 02:00,0.604298357,0.384002058,0.03409396
11.04.2023 02:00 - 11.04.2023 03:00,0.560050569,0.36882716,0.044563758
11.04.2023 03:00 - 11.04.2023 04:00,0.486978508,0.35159465,0.056107383
11.04.2023 04:00 - 11.04.2023 05:00,0.432869785,0.33281893,0.068187919
11.04.2023 05:00 - 11.04.2023 06:00,0.414412137,0.300154321,0.081879195
11.04.2023 06:00 - 11.04.2023 07:00,0.378508217,0.29063786,0.10147651
11.04.2023 07:00 - 11.04.2023 08:00,0.33147914,0.279320988,0.117315436
11.04.2023 08:00 - 11.04.2023 09:00,0.293552465,0.265432099,0.134765101
11.04.2023 09:00 - 11.04.2023 10:00,0.314791403,0.275205761,0.15033557
11.04.2023 10:00 - 11.04.2023 11:00,0.327180784,0.283436214,0.167248322
11.04.2023 11:00 - 11.04.2023 12:00,0.326927939,0.247942387,0.180939597
11.04.2023 12:00 - 11.04.2023 13:00,0.340075853,0.202160494,0.199731544
11.04.2023 13:00 - 11.04.2023 14:00,0.350189633,0.18904321,0.21557047
11.04.2023 14:00 - 11.04.2023 15:00,0.36182048,0.193415638,0.225771812
11.04.2023 15:00 - 11.04.2023 16:00,0.359039191,0.204218107,0.237315436
11.04.2023 16:00 - 11.04.2023 17:00,0.350189633,0.190329218,0.241879195
11.04.2023 17:00 - 11.04.2023 18:00,0.33653603,0.189557613,0.24
11.04.2023 18:00 - 11.04.2023 19:00,0.291529709,0.144804527,0.228456376
11.04.2023 19:00 - 11.04.2023 20:00,0.234134008,0.085133745,0.210738255
11.04.2023 20:00 - 11.04.2023 21:00,0.201011378,0.051954733,0.212080537
11.04.2023 21:00 - 11.04.2023 22:00,0.180025284,0.034979424,0.212080537
11.04.2023 22:00 - 11.04.2023 23:00,0.159797724,0.02494856,0.196778523
11.04.2023 23:00 - 12.04.2023 00:00,0.128950695,0.020833333,0.190604027
12.04.2023 00:00 - 12.04.2023 01:00,0.143109987,0.02031893,0.242147651
12.04.2023 01:00 - 12.04.2023 02:00,0.140581542,0.024691358,0.266845638
12.04.2023 02:00 - 12.04.2023 03:00,0.149178255,0.029578189,0.288590604
12.04.2023 03:00 - 12.04.2023 04:00,0.182806574,0.039351852,0.293422819
12.04.2023 04:00 - 12.04.2023 05:00,0.227054362,0.054526749,0.307651007
12.04.2023 05:00 - 12.04.2023 06:00,0.272566372,0.069701646,0.33261745
12.04.2023 06:00 - 12.04.2023 07:00,0.321112516,0.093621399,0.361073826
12.04.2023 07:00 - 12.04.2023 08:00,0.35676359,0.113940329,0.368590604
12.04.2023 08:00 - 12.04.2023 09:00,0.381289507,0.123199588,0.395167785
12.04.2023 09:00 - 12.04.2023 10:00,0.467509482,0.130144033,0.45852349
12.04.2023 10:00 - 12.04.2023 11:00,0.519848293,0.155864198,0.533959732
12.04.2023 11:00 - 12.04.2023 12:00,0.51908976,0.196759259,0.586040268
12.04.2023 12:00 - 12.04.2023 13:00,0.548672566,0.238683128,0.633825503
12.04.2023 13:00 - 12.04.2023 14:00,0.512768647,0.29218107,0.669261745
12.04.2023 14:00 - 12.04.2023 15:00,0.467003793,0.333847737,0.690201342
12.04.2023 15:00 - 12.04.2023 16:00,0.408091024,0.372942387,0.712483221
12.04.2023 16:00 - 12.04.2023 17:00,0.357269279,0.365997942,0.715167785
12.04.2023 17:00 - 12.04.2023 18:00,0.319342604,0.415895062,0.679463087
12.04.2023 18:00 - 12.04.2023 19:00,0.262452592,0.434927984,0.61557047
12.04.2023 19:00 - 12.04.2023 20:00,0.212389381,0.435185185,0.544966443
12.04.2023 20:00 - 12.04.2023 21:00,0.195195954,0.441615226,0.518926174
12.04.2023 21:00 - 12.04.2023 22:00,0.199747155,0.438528807,0.497181208
12.04.2023 22:00 - 12.04.2023 23:00,0.191908976,0.440329218,0.481073826
12.04.2023 23:00 - 13.04.2023 00:00,0.174968394,0.461162551,0.483221477
13.04.2023 00:00 - 13.04.2023 01:00,0.269279393,0.442644033,0.416644295
13.04.2023 01:00 - 13.04.2023 02:00,0.230847029,0.43441358,0.407785235
13.04.2023 02:00 - 13.04.2023 03:00,0.193426043,0.437242798,0.413691275
13.04.2023 03:00 - 13.04.2023 04:00,0.164096081,0.444701646,0.40966443
13.04.2023 04:00 - 13.04.2023 05:00,0.147155499,0.449074074,0.398657718
13.04.2023 05:00 - 13.04.2023 06:00,0.142604298,0.4218107,0.388187919
13.04.2023 06:00 - 13.04.2023 07:00,0.13147914,0.409207819,0.383892617
13.04.2023 07:00 - 13.04.2023 08:00,0.122882427,0.388374486,0.385503356
13.04.2023 08:00 - 13.04.2023 09:00,0.122123894,0.360853909,0.387651007
13.04.2023 09:00 - 13.04.2023 10:00,0.156257901,0.31404321,0.414496644
13.04.2023 10:00 - 13.04.2023 11:00,0.204298357,0.281893004,0.462013423
13.04.2023 11:00 - 13.04.2023 12:00,0.245259166,0.256687243,0.486174497
13.04.2023 12:00 - 13.04.2023 13:00,0.291276865,0.222479424,0.52
13.04.2023 13:00 - 13.04.2023 14:00,0.330720607,0.203446502,0.539060403
13.04.2023 14:00 - 13.04.2023 15:00,0.359039191,0.192901235,0.570738255
13.04.2023 15:00 - 13.04.2023 16:00,0.36687737,0.188014403,0.616107383
13.04.2023 16:00 - 13.04.2023 17:00,0.363084703,0.16409465,0.63114094
13.04.2023 17:00 - 13.04.2023 18:00,0.366624526,0.174897119,0.62738255
13.04.2023 18:00 - 13.04.2023 19:00,0.355246523,0.16409465,0.565369128
13.04.2023 19:00 - 13.04.2023 20:00,0.313274336,0.145061728,0.478926174
13.04.2023 20:00 - 13.04.2023 21:00,0.29608091,0.140432099,0.44295302
13.04.2023 21:00 - 13.04.2023 22:00,0.287484197,0.141975309,0.429530201
13.04.2023 22:00 - 13.04.2023 23:00,0.282932996,0.144290123,0.414228188
13.04.2023 23:00 - 14.04.2023 00:00,0.257395702,0.154578189,0.396510067
14.04.2023 00:00 - 14.04.2023 01:00,0.20278129,0.106995885,0.190067114
14.04.2023 01:00 - 14.04.2023 02:00,0.189127686,0.105452675,0.170201342
14.04.2023 02:00 - 14.04.2023 03:00,0.170922882,0.10313786,0.156241611
14.04.2023 03:00 - 14.04.2023 04:00,0.153729456,0.104423868,0.137181208
14.04.2023 04:00 - 14.04.2023 05:00,0.136030341,0.108024691,0.120805369
14.04.2023 05:00 - 14.04.2023 06:00,0.116814159,0.107253086,0.11033557
14.04.2023 06:00 - 14.04.2023 07:00,0.095575221,0.116512346,0.101744966
14.04.2023 07:00 - 14.04.2023 08:00,0.07357775,0.124742798,0.086174497
14.04.2023 08:00 - 14.04.2023 09:00,0.051833123,0.12962963,0.072483221
14.04.2023 09:00 - 14.04.2023 10:00,0.038432364,0.122170782,0.068187919
14.04.2023 10:00 - 14.04.2023 11:00,0.033881163,0.123971193,0.063355705
14.04.2023 11:00 - 14.04.2023 12:00,0.034134008,0.129115226,0.059060403
14.04.2023 12:00 - 14.04.2023 13:00,0.031858407,0.126028807,0.060671141
14.04.2023 13:00 - 14.04.2023 14:00,0.033881163,0.127829218,0.064966443
14.04.2023 14:00 - 14.04.2023 15:00,0.038938053,0.130401235,0.074362416
14.04.2023 15:00 - 14.04.2023 16:00,0.049810367,0.128343621,0.090469799
14.04.2023 16:00 - 14.04.2023 17:00,0.059418458,0.113168724,0.096375839
14.04.2023 17:00 - 14.04.2023 18:00,0.064728192,0.123199588,0.104966443
14.04.2023 18:00 - 14.04.2023 19:00,0.067003793,0.130144033,0.096912752
14.04.2023 19:00 - 14.04.2023 20:00,0.061946903,0.138631687,0.075167785
14.04.2023 20:00 - 14.04.2023 21:00,0.061188369,0.147890947,0.064161074
14.04.2023 21:00 - 14.04.2023 22:00,0.065992415,0.148919753,0.06147651
14.04.2023 22:00 - 14.04.2023 23:00,0.07079646,0.162037037,0.056107383
14.04.2023 23:00 - 15.04.2023 00:00,0.069532238,0.178240741,0.054765101
15.04.2023 00:00 - 15.04.2023 01:00,0.106700379,0.200874486,0.046442953
15.04.2023 01:00 - 15.04.2023 02:00,0.121871049,0.213734568,0.044295302
15.04.2023 02:00 - 15.04.2023 03:00,0.128445006,0.225823045,0.042147651
15.04.2023 03:00 - 15.04.2023 04:00,0.130973451,0.236111111,0.042416107
15.04.2023 04:00 - 15.04.2023 05:00,0.132743363,0.242541152,0.043489933
15.04.2023 05:00 - 15.04.2023 06:00,0.142604298,0.233024691,0.042147651
15.04.2023 06:00 - 15.04.2023 07:00,0.148672566,0.230967078,0.044563758
15.04.2023 07:00 - 15.04.2023 08:00,0.147661188,0.227880658,0.043758389
15.04.2023 08:00 - 15.04.2023 09:00,0.143615676,0.2343107,0.039194631
15.04.2023 09:00 - 15.04.2023 10:00,0.164348925,0.221450617,0.037315436
15.04.2023 10:00 - 15.04.2023 11:00,0.16965866,0.220164609,0.041073826
15.04.2023 11:00 - 15.04.2023 12:00,0.164096081,0.213220165,0.057449664
15.04.2023 12:00 - 15.04.2023 13:00,0.160556258,0.198045267,0.080805369
15.04.2023 13:00 - 15.04.2023 14:00,0.157774968,0.195473251,0.100671141
15.04.2023 14:00 - 15.04.2023 15:00,0.16182048,0.187242798,0.121073826
15.04.2023 15:00 - 15.04.2023 16:00,0.162579014,0.168981481,0.142281879
15.04.2023 16:00 - 15.04.2023 17:00,0.153223767,0.128600823,0.144161074
15.04.2023 17:00 - 15.04.2023 18:00,0.138811631,0.12191358,0.158120805
15.04.2023 18:00 - 15.04.2023 19:00,0.114285714,0.108539095,0.14738255
15.04.2023 19:00 - 15.04.2023 20:00,0.088242731,0.086162551,0.129127517
15.04.2023 20:00 - 15.04.2023 21:00,0.079393173,0.070216049,0.12885906
15.04.2023 21:00 - 15.04.2023 22:00,0.081921618,0.06095679,0.137986577
15.04.2023 22:00 - 15.04.2023 23:00,0.084197219,0.053497942,0.150067114
15.04.2023 23:00 - 16.04.2023 00:00,0.081163085,0.045010288,0.146040268
16.04.2023 00:00 - 16.04.2023 01:00,0.05562579,0.033436214,0.158389262
16.04.2023 01:00 - 16.04.2023 02:00,0.045764855,0.032407407,0.147114094
16.04.2023 02:00 - 16.04.2023 03:00,0.041213654,0.031893004,0.134765101
16.04.2023 03:00 - 16.04.2023 04:00,0.03817952,0.030092593,0.125100671
16.04.2023 04:00 - 16.04.2023 05:00,0.04323641,0.025977366,0.110604027
16.04.2023 05:00 - 16.04.2023 06:00,0.054867257,0.019290123,0.096375839
16.04.2023 06:00 - 16.04.2023 07:00,0.06068268,0.017489712,0.094228188
16.04.2023 07:00 - 16.04.2023 08:00,0.060429836,0.019032922,0.087785235
16.04.2023 08:00 - 16.04.2023 09:00,0.060429836,0.017746914,0.081879195
16.04.2023 09:00 - 16.04.2023 10:00,0.067256637,0.0156893,0.089127517
16.04.2023 10:00 - 16.04.2023 11:00,0.075347661,0.017746914,0.117583893
16.04.2023 11:00 - 16.04.2023 12:00,0.07863464,0.018261317,0.161879195
16.04.2023 12:00 - 16.04.2023 13:00,0.089759798,0.016975309,0.207516779
16.04.2023 13:00 - 16.04.2023 14:00,0.095575221,0.020833333,0.240805369
16.04.2023 14:00 - 16.04.2023 15:00,0.096333755,0.027520576,0.253959732
16.04.2023 15:00 - 16.04.2023 16:00,0.091782554,0.037037037,0.257718121
16.04.2023 16:00 - 16.04.2023 17:00,0.090771176,0.041666667,0.24966443
16.04.2023 17:00 - 16.04.2023 18:00,0.092035398,0.044753086,0.248053691
16.04.2023 18:00 - 16.04.2023 19:00,0.089001264,0.040895062,0.219597315
16.04.2023 19:00 - 16.04.2023 20:00,0.078887484,0.032664609,0.177449664
16.04.2023 20:00 - 16.04.2023 21:00,0.079646018,0.027006173,0.164295302
16.04.2023 21:00 - 16.04.2023 22:00,0.094310999,0.023662551,0.159731544
16.04.2023 22:00 - 16.04.2023 23:00,0.103160556,0.021604938,0.166174497
16.04.2023 23:00 - 17.04.2023 00:00,0.100632111,0.02031893,0.176912752
17.04.2023 00:00 - 17.04.2023 01:00,0.08596713,0.028549383,0.133422819
17.04.2023 01:00 - 17.04.2023 02:00,0.088495575,0.031378601,0.133422819
17.04.2023 02:00 - 17.04.2023 03:00,0.086472819,0.035236626,0.133422819
17.04.2023 03:00 - 17.04.2023 04:00,0.082680152,0.041409465,0.13557047
17.04.2023 04:00 - 17.04.2023 05:00,0.082680152,0.04526749,0.12885906
17.04.2023 05:00 - 17.04.2023 06:00,0.087989886,0.04526749,0.123758389
17.04.2023 06:00 - 17.04.2023 07:00,0.089759798,0.050668724,0.133154362
17.04.2023 07:00 - 17.04.2023 08:00,0.086978508,0.054526749,0.137986577
