P_SM_t_opt_beta1,P_PPA_t_opt_beta1
20.517860000000002,7.56
20.96012,7.56
25.07276,7.56
24.57758,7.56
31.2266,7.56
41.08484000000001,7.56
44.44,7.56
37.800000000000004,7.56
37.800000000000004,7.56
44.44,7.56
37.79999999999999,7.56
44.44,7.56
44.44,7.56
44.44,7.56
37.32751999999999,7.56
34.13719999999999,7.56
34.90454,7.56
33.75919999999999,7.56
33.3245,7.56
29.321479999999998,7.56
28.22528,7.56
29.25344,7.56
30.296719999999997,7.56
33.52862,7.56
42.45698,7.56
39.255320000000005,7.56
37.8,7.56
44.13151999999999,7.56
37.79999999999999,7.56
44.392340000000004,7.56
37.8,7.56
44.44,7.56
44.44,7.56
44.44,7.56
37.8,7.56
37.8,7.56
44.44,7.56
37.8,7.56
44.44,7.56
37.8,7.56
44.44,7.56
37.8,7.56
44.44,7.56
37.8,7.56
44.439999999999955,7.56
44.44,7.56
44.43999999999996,7.56
37.8,7.56
29.66924,7.56
31.09052,7.56
30.054799999999997,7.56
29.321479999999998,7.56
28.02872,7.56
27.49574,7.56
26.210539999999998,7.56
25.076539999999998,7.56
26.357960000000002,7.56
24.588919999999998,7.56
22.48346,7.56
21.74258,7.56
18.835759999999997,7.56
17.8265,7.56
17.214139999999997,7.56
16.94198,7.56
17.25194,7.56
17.6942,7.56
16.21622,7.56
18.44642,7.56
21.12266,7.56
21.23984,7.56
18.31034,7.56
17.33888,7.56
25.057639999999996,7.56
23.76866,7.56
21.51578,7.56
18.196939999999998,7.56
18.10622,7.56
18.11,7.56
16.98734,7.56
15.13514,7.56
16.68872,7.56
19.06256,7.56
19.621999999999996,7.56
24.985819999999997,7.56
28.09676,7.56
20.85806,7.56
24.921560000000003,7.56
28.505,7.56
26.33528,7.56
25.639759999999995,7.56
19.98488,7.56
16.82858,7.56
37.8,7.56
44.44,7.56
44.44,7.56
44.44,7.56
39.00206,7.56
28.66376,7.56
26.509159999999998,7.56
29.7713,7.56
33.483259999999994,7.56
31.907,7.56
30.863720000000004,7.56
30.16064,7.56
27.82082,7.56
27.416359999999997,7.56
0.0,7.56
29.948960000000003,7.56
37.611019999999996,7.56
35.8193,7.56
32.160259999999994,7.56
28.26686,7.56
27.839720000000003,7.56
31.3967,7.56
31.95236,7.56
35.097319999999996,7.56
37.05914,7.56
37.8,7.56
44.260040000000004,7.56
44.44,7.56
31.42694,7.56
32.19806,7.56
32.06576,7.56
34.76089999999999,7.56
39.05876,7.56
37.8,7.56
39.323359999999994,7.56
40.502720000000004,7.56
37.79999999999999,7.56
32.63276,7.56
26.57342,7.56
23.825359999999996,7.56
23.163860000000003,7.56
27.537319999999994,7.56
30.65582,7.56
33.585319999999996,7.56
35.62273999999999,7.56
33.2111,7.56
34.73822,7.56
37.44847999999999,7.56
37.79999999999999,7.56
44.44,7.56
44.44,7.56
44.44,7.56
44.44,7.56
44.44,7.56
37.8,7.56
44.44,7.56
44.44,7.56
37.800000000000004,7.56
44.44,7.56
44.44,7.56
37.8,7.56
44.44,7.56
44.44,7.56
37.79999999999999,7.56
28.69022,7.56
27.620479999999997,7.56
27.71876,7.56
21.84842,7.56
19.1873,7.56
17.697979999999998,7.56
18.355700000000002,7.56
18.064639999999997,7.56
15.71726,7.56
14.587040000000002,7.56
12.500479999999998,7.56
12.440000000000001,7.56
20.63882,7.56
21.65942,7.56
23.16764,7.56
24.63428,7.56
27.27272,7.56
28.96238,7.56
33.34339999999999,7.56
36.178399999999996,7.56
40.30615999999999,7.56
37.8,7.56
37.8,7.56
